Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
726563000.0,0.0,479325000.0,247238000.0,34.02843249656258,-9077000.0,0.0,41829000.0,5954000.0,247576000.0,20.8840921575597,195872000.0,1.88,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_102256_1043905_03022024041451.xml,03-Feb-2024 16:14:53
637267000.0,0.0,315262000.0,322005000.0,50.52905610991939,-638000.0,0.0,40892000.0,6375000.0,324162000.0,23.669955145883847,247433000.0,2.37,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_106580_1132475_21052024084231.xml,21-May-2024 20:42:34
728094000.0,0.0,488222000.0,239872000.0,32.94519663669801,-10578000.0,0.0,52397000.0,6772000.0,240157000.0,21.686230257706416,188076000.0,1.81,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_109223_1197964_20072024062230.xml,20-Jul-2024 18:22:32
763794000.0,0.0,523813000.0,239981000.0,31.41959743072085,-13139000.0,0.0,59418000.0,7250000.0,240389000.0,17.051528980111403,199399000.0,1.83,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_114423_1300543_07112024080001.xml,07-Nov-2024 20:00:04
517882000.0,0.0,407155000.0,110727000.0,21.380739241757777,17173000.0,32990000.0,47661000.0,7970000.0,145308000.0,15.668098108844662,122541000.0,1.12,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_119522_1377546_11022025114550.xml,11-Feb-2025 11:45:52
