Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
290384300000.0,0.0,236092300000.0,54292000000.0,18.696603087701366,-17500000.0,0.0,47765300000.0,2320900000.0,54292000000.0,25.49012745892581,40452900000.0,13.45,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_101792_1039530_30012024073006.xml,30-Jan-2024 19:30:12
320408400000.0,0.0,265187200000.0,55221200000.0,17.234629304350324,-22400000.0,0.0,51535100000.0,2569100000.0,55232100000.0,26.040653895108097,40849300000.0,13.17,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_104856_1109872_27042024125639.xml,27-Apr-2024 12:56:50
314799300000.0,0.0,255141400000.0,59657900000.0,18.951090424915176,-22000000.0,0.0,55920100000.0,2670100000.0,59660000000.0,29.44552463962454,42092800000.0,13.3,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_109415_1201838_25072024105846.xml,25-Jul-2024 10:58:55
337037400000.0,0.0,277412200000.0,59625200000.0,17.69097435477487,-34500000.0,0.0,60456300000.0,2753200000.0,59625200000.0,29.892897633886342,41801500000.0,13.0,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_113160_1286693_24102024110033.xml,24-Oct-2024 11:00:36
320418100000.0,0.0,262334000000.0,58084100000.0,18.12759641231254,-31000000.0,0.0,62762700000.0,2885000000.0,58084100000.0,24.043068585034458,44118900000.0,13.9,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_118212_1366575_30012025073535.xml,30-Jan-2025 19:35:41
