Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
73444000.0,0.0,80658000.0,-7214000.0,-9.822449757638473,14274000.0,0.0,1421000.0,1161000.0,7118000.0,17.083450407417814,5902000.0,0.56,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_103476_1052060_12022024052131.xml,12-Feb-2024 17:21:31
99758000.0,0.0,97479000.0,2279000.0,2.2845285591130535,2829000.0,0.0,1554000.0,1385000.0,5050000.0,175.62376237623764,-3819000.0,-0.36,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_108369_1149033_30052024082606.xml,30-May-2024 20:26:06
66093000.0,0.0,71827000.0,-5734000.0,-8.675654002693175,20845000.0,0.0,1297000.0,1242000.0,15111000.0,31.01713983191053,10424000.0,0.98,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_112344_1226770_14082024065934.xml,14-Aug-2024 18:59:34
94061000.0,0.0,87206000.0,6855000.0,7.287823858985127,9770000.0,0.0,1806000.0,1373000.0,16625000.0,9.233082706766917,15090000.0,0.47,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116225_1312169_14112024055418.xml,14-Nov-2024 17:54:18
97831000.0,0.0,89569000.0,8262000.0,8.445175864501028,6310000.0,0.0,1322000.0,1290000.0,14572000.0,-26.152895964864122,18383000.0,0.58,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119904_1379889_12022025045228.xml,12-Feb-2025 16:52:28
