Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
1611711000.0,0.0,1309399000.0,302312000.0,18.757208953714407,43827000.0,0.0,35311000.0,6230000.0,346139000.0,18.30218496037719,282788000.0,2.74,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105998_1125643_15052024071136.xml,15-May-2024 19:11:37
1753090000.0,0.0,1344528000.0,408562000.0,23.30524958787056,10583000.0,0.0,15489000.0,7988000.0,419145000.0,18.48381824905462,341671000.0,3.26,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_109806_1206586_30072024044455.xml,30-Jul-2024 16:44:55
2228792000.0,0.0,1614299000.0,614493000.0,27.570675056263664,25002000.0,0.0,29410000.0,8313000.0,639495000.0,24.718723367657294,481420000.0,4.26,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113010_1284830_22102024041821.xml,22-Oct-2024 16:18:22
2557830000.0,0.0,1911875000.0,645955000.0,25.254023918712345,95662000.0,0.0,22576000.0,8473000.0,741617000.0,20.436289890873592,590058000.0,5.19,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119148_1375069_07022025073531.xml,07-Feb-2025 19:35:32
