Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
145675000.0,0.0,142069000.0,3606000.0,2.4753732623991764,20466000.0,0.0,13841000.0,87634000.0,24072000.0,0.0,24072000.0,0.3,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_103271_1050921_10022024111802.xml,10-Feb-2024 11:18:02
913715000.0,0.0,200170000.0,713545000.0,78.09273132212999,1614693000.0,1525944000.0,12803000.0,92375000.0,2328238000.0,3.856908099601501,2238440000.0,27.47,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_107307_1139599_26052024063112.xml,26-May-2024 18:31:12
154143000.0,0.0,197396000.0,-43253000.0,-28.060307636415537,222243000.0,0.0,9563000.0,106172000.0,178990000.0,25.699759763115257,132990000.0,1.63,30-Jun-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_112163_1225691_14082024042700.xml,14-Aug-2024 16:27:01
134325000.0,0.0,176354000.0,-42029000.0,-31.28903778150009,23114000.0,0.0,-1176000.0,106270000.0,-18915000.0,10.367433254031193,-16954000.0,-0.21,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116600_1314429_15112024015722.xml,15-Nov-2024 13:57:22
16198000.0,0.0,216715000.0,-200517000.0,-1237.9120879120878,40546000.0,0.0,19722000.0,106602000.0,-159971000.0,157.4735420795019,91941000.0,1.13,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119882_1379789_12022025042930.xml,12-Feb-2025 16:29:30
