Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
1182397000.0,0.0,1070550000.0,111847000.0,9.459344027429028,100569000.0,0.0,21809000.0,23222000.0,212416000.0,30.75474540524254,147088000.0,1.3,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_103093_1050013_09022024052035.xml,09-Feb-2024 17:20:35
1154228000.0,0.0,1033119000.0,121109000.0,10.492640968682098,73966000.0,0.0,22028000.0,24882000.0,195075000.0,26.34166346277073,143689000.0,1.27,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105531_1119113_09052024052420.xml,09-May-2024 17:24:21
1226119000.0,0.0,1056703000.0,169416000.0,13.817255910723185,68801000.0,0.0,13362000.0,31616000.0,238217000.0,24.40128118480209,180089000.0,1.59,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_111107_1219303_09082024061909.xml,09-Aug-2024 18:19:10
1377940000.0,0.0,1180269000.0,197671000.0,14.345399654556802,111548000.0,-1281000.0,16939000.0,34489000.0,309219000.0,27.667769444956487,223665000.0,1.98,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_115225_1306350_12112024054056.xml,12-Nov-2024 17:40:56
1572986000.0,0.0,1334935000.0,238051000.0,15.133701126392733,36290000.0,0.0,14052000.0,34660000.0,274341000.0,20.344753427303974,218527000.0,1.93,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118341_1367674_31012025062724.xml,31-Jan-2025 18:27:24
