Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
65953690000.0,0.0,58779270000.0,7174420000.0,10.877966039504386,32330000.0,-151020000.0,1230400000.0,3676190000.0,7207300000.0,31.094029664368072,4966260000.0,7.82,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102713_1047873_08022024010133.xml,08-Feb-2024 13:01:33
62582010000.0,0.0,57328330000.0,5253680000.0,8.39487258399019,374110000.0,-367960000.0,1146400000.0,3879820000.0,5628910000.0,37.09599194160148,3540810000.0,5.58,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105920_1124637_15052024124250.xml,15-May-2024 12:42:51
63348510000.0,0.0,59020550000.0,4327960000.0,6.831983893543826,-96020000.0,-404120000.0,1069580000.0,3695040000.0,4232200000.0,28.64184112282028,3020020000.0,4.76,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_110723_1216466_08082024123932.xml,08-Aug-2024 12:39:32
64370250000.0,0.0,60547450000.0,3822800000.0,5.938768297466609,163500000.0,-51760000.0,1197390000.0,3758620000.0,3987740000.0,25.407624368690033,2974550000.0,4.68,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116034_1311147_14112024032324.xml,14-Nov-2024 15:23:24
69279540000.0,0.0,64674030000.0,4605510000.0,6.647720236017733,36120000.0,-42370000.0,1105220000.0,3759410000.0,4643720000.0,27.37611225483018,3372450000.0,5.31,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119036_1374286_07022025030711.xml,07-Feb-2025 15:07:11
