Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
2310173000.0,0.0,1796493000.0,513680000.0,22.235564176362548,10506000.0,0.0,81441000.0,66350000.0,549587000.0,21.071095204216984,433783000.0,4.57,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102898_1048950_08022024091942.xml,08-Feb-2024 21:19:42
3539550000.0,0.0,2891578000.0,647972000.0,18.306620898136767,-10832000.0,0.0,94936000.0,64139000.0,674952000.0,19.399305432089985,544016000.0,5.73,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_107146_1138351_24052024082025.xml,24-May-2024 20:20:25
1551778000.0,0.0,1498133000.0,53645000.0,3.45700222583385,2315000.0,0.0,104263000.0,82163000.0,74732000.0,3.5981908687041697,72043000.0,0.76,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_111896_1224246_13082024073500.xml,13-Aug-2024 19:35:00
2296117000.0,0.0,1991470000.0,304647000.0,13.26792145173787,11162000.0,0.0,125729000.0,62098000.0,326427000.0,22.211397954213346,253923000.0,2.67,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_115284_1306672_12112024062805.xml,12-Nov-2024 18:28:05
2585385000.0,0.0,2067946000.0,517439000.0,20.014001783100003,-52993000.0,0.0,149331000.0,95281000.0,540019000.0,12.175127171451376,474271000.0,5.0,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119138_1374994_07022025070951.xml,07-Feb-2025 19:09:51
