Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
1247496000.0,0.0,867319000.0,380177000.0,30.475207936538474,20274000.0,0.0,3748000.0,74928000.0,400451000.0,22.76083715610649,309305000.0,20.72,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_101174_1028914_19012024022944.xml,19-Jan-2024 14:29:44
1309853000.0,0.0,878205000.0,431648000.0,32.95392689103281,-313310000.0,-336105000.0,2671000.0,72379000.0,118338000.0,98.29725024928594,2015000.0,0.13,31-Mar-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_104575_1098684_18042024050646.xml,18-Apr-2024 17:06:46
1281108000.0,0.0,893200000.0,387908000.0,30.279102152199503,31655000.0,0.0,8890000.0,79717000.0,419563000.0,25.667182282517764,311873000.0,20.89,30-Jun-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_109607_1204023_26072024080419.xml,26-Jul-2024 20:04:19
1271203000.0,0.0,869540000.0,401663000.0,31.59707772873412,34034000.0,0.0,8462000.0,75372000.0,435697000.0,25.49225723381157,324628000.0,21.75,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_112812_1273410_16102024073716.xml,16-Oct-2024 19:37:16
1331784000.0,0.0,922252000.0,409532000.0,30.75063223465667,28423000.0,0.0,8330000.0,64821000.0,437955000.0,26.107020127638684,323618000.0,21.68,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117502_1357366_22012025070902.xml,22-Jan-2025 19:09:03
