Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
3922700000.0,0.0,3147200000.0,775500000.0,19.769546485838834,71000000.0,0.0,77000000.0,48300000.0,863000000.0,17.230590961761298,714300000.0,2.22,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102538_1046633_07022024020403.xml,07-Feb-2024 14:04:04
4425900000.0,0.0,3544600000.0,881300000.0,19.912334214510043,142900000.0,0.0,114100000.0,48100000.0,986600000.0,14.848976282181228,840100000.0,2.39,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_104703_1108201_25042024061400.xml,25-Apr-2024 18:14:00
4718300000.0,0.0,3779200000.0,939100000.0,19.903355021935866,83600000.0,0.0,35800000.0,54600000.0,1037400000.0,12.271062271062272,910100000.0,2.66,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_109672_1204635_27072024070532.xml,27-Jul-2024 19:05:32
5128500000.0,0.0,4096400000.0,1032100000.0,20.124792824412598,96900000.0,0.0,15100000.0,80800000.0,1141100000.0,7.413898869511875,1056500000.0,3.09,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113840_1292697_29102024050946.xml,29-Oct-2024 17:09:46
5346400000.0,0.0,4122200000.0,1224200000.0,22.897650755648662,83800000.0,0.0,29200000.0,82100000.0,1317500000.0,16.227703984819733,1103700000.0,3.23,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118444_1368597_01022025082916.xml,01-Feb-2025 20:29:16
