Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
22744100000.0,0.0,19311000000.0,3433100000.0,15.094464058810857,656300000.0,0.0,364400000.0,1608500000.0,4089400000.0,25.31422702596958,3054200000.0,15.8,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_101443_1035186_24012024061609.xml,24-Jan-2024 18:16:09
26819200000.0,0.0,22058200000.0,4761000000.0,17.75220737382174,1707400000.0,0.0,308700000.0,1741500000.0,6468400000.0,24.7495516665636,4867500000.0,25.18,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_106274_1128823_17052024074459.xml,17-May-2024 19:45:00
27145000000.0,0.0,22362100000.0,4782900000.0,17.619819487935164,1616300000.0,0.0,219200000.0,1634000000.0,6399200000.0,23.429491186398298,4899900000.0,25.35,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_111112_1219326_09082024062256.xml,09-Aug-2024 18:22:56
24197400000.0,0.0,20476000000.0,3721400000.0,15.379338276013126,905000000.0,0.0,412100000.0,1664400000.0,4626400000.0,25.008646031471553,3469400000.0,17.95,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113404_1288979_25102024064106.xml,25-Oct-2024 18:41:06
25603300000.0,0.0,21479400000.0,4123900000.0,16.106908093878523,1872900000.0,0.0,157100000.0,1725900000.0,5996800000.0,25.046691568836714,4494800000.0,23.25,31-Dec-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117747_1361495_25012025063833.xml,25-Jan-2025 18:38:33
