Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
1354803000.0,0.0,1325952000.0,28851000.0,2.1295346998788753,21551000.0,0.0,21345000.0,19125000.0,50402000.0,26.149755962064997,37222000.0,14.31,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_104081_1055043_14022024040218.xml,14-Feb-2024 16:02:19
1352986000.0,0.0,1347106000.0,5880000.0,0.4345942973541485,38827000.0,0.0,19700000.0,20434000.0,44707000.0,61.47806831145011,17222000.0,6.62,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_107647_1143085_28052024101735.xml,28-May-2024 22:17:36
1276991000.0,0.0,1269092000.0,7899000.0,0.6185634824364463,27192000.0,0.0,21838000.0,21478000.0,35091000.0,57.59881451084323,14879000.0,5.72,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_111752_1223364_13082024050351.xml,13-Aug-2024 17:03:52
1350552000.0,0.0,1339528000.0,11024000.0,0.8162588334251476,28117000.0,0.0,20500000.0,24740000.0,39141000.0,43.3075291893411,22190000.0,8.53,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116273_1312490_14112024063559.xml,14-Nov-2024 18:35:59
1409773000.0,0.0,1401916000.0,7857000.0,0.5573237677271448,23691000.0,0.0,17159000.0,24809000.0,31547000.0,41.059371731067934,18594000.0,7.15,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119274_1375723_08022025044034.xml,08-Feb-2025 16:40:34
