Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
3712273000.0,0.0,3870055000.0,-157782000.0,-4.25028008446577,12839000.0,0.0,51831000.0,120990000.0,-144946000.0,44.18473086528776,-80902000.0,-0.49,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_101764_1039207_30012024052735.xml,30-Jan-2024 17:27:36
4236343000.0,0.0,4278956000.0,-42613000.0,-1.0058911660363667,44829000.0,0.0,112245000.0,129289000.0,1672000.0,3371.232057416268,-54695000.0,-0.19,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_106870_1135933_23052024061544.xml,23-May-2024 18:15:44
3431940000.0,0.0,3456627000.0,-24687000.0,-0.7193307575307261,4954000.0,0.0,57680000.0,127578000.0,-19987000.0,116.52073848001201,3302000.0,0.15,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_110515_1214290_06082024060250.xml,06-Aug-2024 18:02:50
3836842000.0,0.0,3879984000.0,-43142000.0,-1.1244142969660986,10453000.0,0.0,62241000.0,126914000.0,-32828000.0,243.0364323138784,46956000.0,0.51,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116350_1313022_14112024075802.xml,14-Nov-2024 19:58:03
3600207000.0,0.0,3633174000.0,-32967000.0,-0.9156973474025244,8269000.0,0.0,63015000.0,128625000.0,-24923000.0,63.969024595754924,-8980000.0,0.02,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119113_1374853_07022025063257.xml,07-Feb-2025 18:32:57
