Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
2307507000.0,0.0,1880262000.0,427245000.0,18.515436789574203,24986000.0,0.0,32492000.0,52520000.0,452231000.0,16.246343129949075,378760000.0,15.29,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102391_1045313_06022024110529.xml,06-Feb-2024 11:05:29
2468707000.0,0.0,2033891000.0,434816000.0,17.613106780188982,14022000.0,0.0,35333000.0,55748000.0,448838000.0,12.076740382944402,394633000.0,15.49,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105934_1124784_15052024022735.xml,15-May-2024 14:27:36
2616227000.0,0.0,2140252000.0,475975000.0,18.19318430701923,68377000.0,0.0,22630000.0,56442000.0,544352000.0,18.061842337311152,446032000.0,8.03,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_109436_1201995_25072024125612.xml,25-Jul-2024 12:56:13
2782757000.0,0.0,2303941000.0,478816000.0,17.206532945564415,47324000.0,0.0,12192000.0,73698000.0,526140000.0,13.493556847987227,455145000.0,8.32,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_113031_1285169_22102024062703.xml,22-Oct-2024 18:27:04
3061147000.0,0.0,2512637000.0,548510000.0,17.918446908952756,43508000.0,0.0,15180000.0,74517000.0,592018000.0,19.250428196439973,478052000.0,8.69,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117854_1363120_28012025043656.xml,28-Jan-2025 16:36:57
