Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
2187839000.0,0.0,2042592000.0,145247000.0,6.638834027549559,17845000.0,0.0,79569000.0,101576000.0,163092000.0,29.16819954381576,115521000.0,0.83,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102387_1045276_05022024105941.xml,05-Feb-2024 22:59:42
2252407000.0,0.0,2069014000.0,183393000.0,8.142089773295856,18980000.0,0.0,85746000.0,110383000.0,202373000.0,29.317646128683172,143042000.0,1.02,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105671_1120681_10052024083737.xml,10-May-2024 20:37:37
2232038000.0,0.0,2059685000.0,172353000.0,7.721777138202844,44038000.0,0.0,81339000.0,107993000.0,216391000.0,23.636842567389586,165243000.0,1.12,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_110808_1217083_08082024051407.xml,08-Aug-2024 17:14:08
2414214000.0,0.0,2183074000.0,231140000.0,9.574130545179507,74396000.0,0.0,79769000.0,111724000.0,305536000.0,27.567618873062422,221307000.0,1.41,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116377_1313203_14112024084003.xml,14-Nov-2024 20:40:03
2323914000.0,0.0,2143800000.0,180114000.0,7.750458924039358,87975000.0,0.0,80018000.0,114504000.0,268089000.0,23.1699174527862,205973000.0,1.31,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118724_1371523_05022025033620.xml,05-Feb-2025 15:36:20
