Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
210289000.0,0.0,233031000.0,-22742000.0,-10.814640803846135,1294000.0,0.0,1728000.0,150000.0,-21477000.0,-0.1350281696698794,-21506000.0,-2.29,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102963_1049311_09022024015737.xml,09-Feb-2024 13:57:37
156435000.0,0.0,171091000.0,-14656000.0,-9.36874740307476,642000.0,0.0,2408000.0,-60000.0,-13875000.0,84.54774774774775,-2144000.0,-0.21,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_107450_1141311_28052024010626.xml,28-May-2024 13:06:27
291359000.0,0.0,262982000.0,28377000.0,9.739530956654848,1109000.0,0.0,598000.0,100000.0,29479000.0,0.023745717290274432,29472000.0,3.13,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_111357_1220800_12082024105502.xml,12-Aug-2024 10:55:02
167029000.0,0.0,173160000.0,-6131000.0,-3.670620071963551,1126000.0,0.0,185000.0,100000.0,-5029000.0,-0.4772320540862995,-5053000.0,0.53,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_115060_1305508_12112024025452.xml,12-Nov-2024 14:54:52
166821000.0,0.0,188503000.0,-21682000.0,-12.997164625556735,1121000.0,0.0,974000.0,100000.0,-20579000.0,-0.08746780698770591,-20597000.0,-2.2,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119032_1374271_07022025030322.xml,07-Feb-2025 15:03:22
