Sales,InterestBanking,Expenses,OperatingProfit,OPM,OtherIncome,ExceptionalItem,Interest,Depreciation,ProfitBeforeTax,TaxPercentage,NetProfit,EPS,toDate,audited,xbrl,broadCastDate
998849000.0,0.0,983937000.0,14912000.0,1.4929183490197218,8963000.0,0.0,3932000.0,3460000.0,23875000.0,0.418848167539267,23775000.0,1.61,31-Dec-2023,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_102754_1048117_08022024033928.xml,08-Feb-2024 15:39:28
1031067000.0,0.0,1008900000.0,22167000.0,2.149908783813273,9960000.0,0.0,4153000.0,3369000.0,32127000.0,5.465807576182027,30371000.0,2.05,31-Mar-2024,Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_105855_1123851_14052024060615.xml,14-May-2024 18:06:15
1133343000.0,0.0,1109854000.0,23489000.0,2.0725411459725787,4789000.0,0.0,6686000.0,2931000.0,28278000.0,7.7410000707263595,26089000.0,1.76,30-Jun-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_111751_1223361_13082024050328.xml,13-Aug-2024 17:03:28
1209593000.0,0.0,1200644000.0,8949000.0,0.7398356306625452,10444000.0,0.0,7892000.0,3131000.0,19393000.0,-8.760893105759811,21092000.0,1.42,30-Sep-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116020_1311070_14112024030540.xml,14-Nov-2024 15:05:40
1316445000.0,0.0,1292678000.0,23767000.0,1.8053925534298811,4578000.0,0.0,7920000.0,4716000.0,28345000.0,16.30269888869289,23724000.0,1.59,31-Dec-2024,Un-Audited,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119304_1375892_08022025074007.xml,08-Feb-2025 19:40:08
