Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-01 00:00:00+05:30,177.1999969482422,182.9499969482422,176.0,176.5,117885,0.0,0.0
2024-01-02 00:00:00+05:30,176.5,177.6999969482422,168.5,171.0,321759,0.0,0.0
2024-01-03 00:00:00+05:30,171.14999389648438,180.8000030517578,169.5,179.25,261772,0.0,0.0
2024-01-04 00:00:00+05:30,180.0,183.1999969482422,174.85000610351562,175.6999969482422,149833,0.0,0.0
2024-01-05 00:00:00+05:30,175.0,178.64999389648438,173.5,175.25,92831,0.0,0.0
2024-01-08 00:00:00+05:30,178.0,181.5,172.0,174.9499969482422,153741,0.0,0.0
2024-01-09 00:00:00+05:30,177.0500030517578,179.9499969482422,172.35000610351562,175.1999969482422,158254,0.0,0.0
2024-01-10 00:00:00+05:30,175.1999969482422,176.9499969482422,173.4499969482422,175.0500030517578,68214,0.0,0.0
2024-01-11 00:00:00+05:30,178.0,179.3000030517578,175.10000610351562,177.75,114645,0.0,0.0
2024-01-12 00:00:00+05:30,179.89999389648438,181.8500061035156,177.0,178.14999389648438,144150,0.0,0.0
2024-01-15 00:00:00+05:30,181.6499938964844,183.0,175.25,176.64999389648438,136183,0.0,0.0
2024-01-16 00:00:00+05:30,178.0,180.0,163.85000610351562,165.5500030517578,313902,0.0,0.0
2024-01-17 00:00:00+05:30,165.0,174.4499969482422,162.60000610351562,169.6999969482422,232724,0.0,0.0
2024-01-18 00:00:00+05:30,170.89999389648438,171.89999389648438,164.3000030517578,169.35000610351562,101110,0.0,0.0
2024-01-19 00:00:00+05:30,171.89999389648438,172.4499969482422,167.3000030517578,170.85000610351562,97557,0.0,0.0
2024-01-23 00:00:00+05:30,173.5,173.5,165.25,167.14999389648438,74224,0.0,0.0
2024-01-24 00:00:00+05:30,166.75,169.75,164.35000610351562,166.89999389648438,63791,0.0,0.0
2024-01-25 00:00:00+05:30,169.0,177.6999969482422,166.0500030517578,175.60000610351562,242415,0.0,0.0
2024-01-29 00:00:00+05:30,176.0,177.5,168.1999969482422,169.1999969482422,176463,0.0,0.0
2024-01-30 00:00:00+05:30,170.8000030517578,173.0,165.10000610351562,169.9499969482422,221082,0.0,0.0
2024-01-31 00:00:00+05:30,169.9499969482422,171.10000610351562,168.0,169.0,67880,0.0,0.0
2024-02-01 00:00:00+05:30,169.0,169.85000610351562,165.1999969482422,166.0500030517578,81182,0.0,0.0
2024-02-02 00:00:00+05:30,168.5500030517578,168.60000610351562,163.0,163.5,115707,0.0,0.0
2024-02-05 00:00:00+05:30,165.9499969482422,165.9499969482422,156.5,157.60000610351562,118150,0.0,0.0
2024-02-06 00:00:00+05:30,159.9499969482422,159.9499969482422,151.85000610351562,155.25,170963,0.0,0.0
2024-02-07 00:00:00+05:30,155.25,165.0,155.25,160.89999389648438,149969,0.0,0.0
2024-02-08 00:00:00+05:30,167.89999389648438,167.89999389648438,157.60000610351562,160.0,118843,0.0,0.0
