Security Code,Issuer Name,symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,bseIndustry
542012,A-1 LIMITED,A1L,A-1 Ltd,Active,B ,10,INE911Z01017,Trading - Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
542013,Dolfin Rubbers Limited,DOLFIN,Dolfin Rubbers Ltd,Active,B ,10,INE666Y01010,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
542019,Shubham Polyspin Limited,SHUBHAM,Shubham Polyspin Ltd,Active,B ,10,INE01J501010,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
542020,AKI India Limited,AKI,AKI India Ltd,Active,B ,2,INE642Z01026,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
542025,Sun Retail Limited,SUNRETAIL,Sun Retail Ltd,Active,M ,1,INE206Z01020,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
542034,S. M. Gold Limited,SMGOLD,S. M. Gold Ltd,Active,T ,10,INE00Q901014,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
542046,VIVID MERCANTILE LIMITED,VIVIDM,Vivid Mercantile Ltd,Active,T ,10,INE647Z01017,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
542057,BCPL Railway Infrastructure Limited,BCPL,BCPL Railway Infrastructure Ltd,Active,B ,10,INE00SW01015,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
542066,ADANI TOTAL GAS LIMITED,ATGL,Adani Total Gas Ltd,Active,A ,1,INE399L01023,LPG/CNG/PNG/LNG Supplier,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
542123,The Phosphate Company Limited,PHOSPHATE,The Phosphate Company Ltd,Active,X ,10,INE398C01016,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
