Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-16 00:00:00+05:30,196.75,196.75,196.75,196.75,0,0.0,0.0
2023-10-17 00:00:00+05:30,196.7,196.7,196.7,196.7,0,0.0,0.0
2023-10-18 00:00:00+05:30,196.65,196.65,196.65,196.65,0,0.0,0.0
2023-10-20 00:00:00+05:30,195.05,195.05,195.05,195.05,0,0.0,0.0
2023-10-23 00:00:00+05:30,196.45,196.45,196.45,196.45,0,0.0,0.0
2023-10-24 00:00:00+05:30,196.45,196.45,196.45,196.45,0,0.0,0.0
2023-10-25 00:00:00+05:30,196.4,196.4,196.4,196.4,0,0.0,0.0
2023-10-26 00:00:00+05:30,198.85,198.85,198.85,198.85,0,0.0,0.0
2023-10-27 00:00:00+05:30,199.35,199.35,199.35,199.35,0,0.0,0.0
2023-10-30 00:00:00+05:30,194.7,194.7,194.7,194.7,0,0.0,0.0
2023-10-31 00:00:00+05:30,193.15,193.15,193.15,193.15,0,0.0,0.0
2023-11-01 00:00:00+05:30,195.6,195.6,195.6,195.6,0,0.0,0.0
2023-11-02 00:00:00+05:30,197.1,197.1,197.1,197.1,0,0.0,0.0
2023-11-03 00:00:00+05:30,197.55,197.55,197.55,197.55,0,0.0,0.0
2023-11-06 00:00:00+05:30,193.9,193.9,193.9,193.9,0,0.0,0.0
2023-11-07 00:00:00+05:30,198.4,198.4,198.4,198.4,0,0.0,0.0
2023-11-08 00:00:00+05:30,199.85,199.85,199.85,199.85,0,0.0,0.0
2023-11-09 00:00:00+05:30,195.8,195.8,195.8,195.8,0,0.0,0.0
2023-11-10 00:00:00+05:30,196.8,196.8,196.8,196.8,0,0.0,0.0
2023-11-12 00:00:00+05:30,196.7,196.7,196.7,196.7,0,0.0,0.0
2023-11-13 00:00:00+05:30,195.65,195.65,195.65,195.65,0,0.0,0.0
2023-11-14 00:00:00+05:30,195.65,195.65,195.65,195.65,0,0.0,0.0
2023-11-15 00:00:00+05:30,195.6,195.6,195.6,195.6,0,0.0,0.0
2023-11-16 00:00:00+05:30,197.55,197.55,197.55,197.55,0,0.0,0.0
2023-11-17 00:00:00+05:30,195.5,195.5,195.5,195.5,0,0.0,0.0
2023-11-20 00:00:00+05:30,199.4,199.4,199.4,199.4,0,0.0,0.0
