Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-15 00:00:00+05:30,207.8,207.8,207.8,207.8,0,0.0,0.0
2023-05-16 00:00:00+05:30,210.7,210.7,210.7,210.7,0,0.0,0.0
2023-05-17 00:00:00+05:30,209.6,209.6,209.6,209.6,0,0.0,0.0
2023-05-18 00:00:00+05:30,222.5,222.5,222.5,222.5,0,0.0,0.0
2023-05-19 00:00:00+05:30,226.0,226.0,226.0,226.0,0,0.0,0.0
2023-05-22 00:00:00+05:30,211.0,211.0,211.0,211.0,0,0.0,0.0
2023-05-23 00:00:00+05:30,208.2,208.2,208.2,208.2,0,0.0,0.0
2023-05-24 00:00:00+05:30,212.0,212.0,212.0,212.0,0,0.0,0.0
2023-05-25 00:00:00+05:30,203.4,203.4,203.4,203.4,0,0.0,0.0
2023-05-26 00:00:00+05:30,203.0,203.0,203.0,203.0,0,0.0,0.0
2023-05-29 00:00:00+05:30,195.4,195.4,195.4,195.4,0,0.0,0.0
2023-05-30 00:00:00+05:30,189.2,189.2,189.2,189.2,0,0.0,0.0
2023-05-31 00:00:00+05:30,190.7,190.7,190.7,190.7,0,0.0,0.0
2023-06-01 00:00:00+05:30,179.6,179.6,179.6,179.6,0,0.0,0.0
2023-06-02 00:00:00+05:30,182.1,182.1,182.1,182.1,0,0.0,0.0
2023-06-05 00:00:00+05:30,188.3,188.3,188.3,188.3,0,0.0,0.0
2023-06-06 00:00:00+05:30,188.1,188.1,188.1,188.1,0,0.0,0.0
2023-06-07 00:00:00+05:30,190.7,190.7,190.7,190.7,0,0.0,0.0
2023-06-08 00:00:00+05:30,192.3,192.3,192.3,192.3,0,0.0,0.0
2023-06-09 00:00:00+05:30,188.5,188.5,188.5,188.5,0,0.0,0.0
2023-06-12 00:00:00+05:30,184.7,184.7,184.7,184.7,0,0.0,0.0
2023-06-13 00:00:00+05:30,192.7,192.7,192.7,192.7,0,0.0,0.0
2023-06-14 00:00:00+05:30,192.8,192.8,192.8,192.8,0,0.0,0.0
2023-06-15 00:00:00+05:30,210.2,210.2,210.2,210.2,0,0.0,0.0
2023-06-16 00:00:00+05:30,215.4,215.4,215.4,215.4,0,0.0,0.0
2023-06-19 00:00:00+05:30,218.4,218.4,218.4,218.4,0,0.0,0.0
2023-06-20 00:00:00+05:30,209.1,209.1,209.1,209.1,0,0.0,0.0
2023-06-21 00:00:00+05:30,210.8,210.8,210.8,210.8,0,0.0,0.0
2023-06-22 00:00:00+05:30,212.6,212.6,212.6,212.6,0,0.0,0.0
2023-06-23 00:00:00+05:30,214.8,214.8,214.8,214.8,0,0.0,0.0
2023-06-26 00:00:00+05:30,226.5,226.5,226.5,226.5,0,0.0,0.0
2023-06-27 00:00:00+05:30,226.5,226.5,226.5,226.5,0,0.0,0.0
2023-06-28 00:00:00+05:30,225.6,225.6,225.6,225.6,0,0.0,0.0
2023-06-29 00:00:00+05:30,222.8,222.8,222.8,222.8,0,0.0,0.0
2023-06-30 00:00:00+05:30,230.9,230.9,230.9,230.9,0,0.0,0.0
2023-07-03 00:00:00+05:30,221.7,221.7,221.7,221.7,0,0.0,0.0
2023-07-04 00:00:00+05:30,225.7,225.7,225.7,225.7,0,0.0,0.0
2023-07-05 00:00:00+05:30,220.5,220.5,220.5,220.5,0,0.0,0.0
2023-07-06 00:00:00+05:30,219.9,219.9,219.9,219.9,0,0.0,0.0
2023-07-07 00:00:00+05:30,212.4,212.4,212.4,212.4,0,0.0,0.0
2023-07-10 00:00:00+05:30,220.3,220.3,220.3,220.3,0,0.0,0.0
2023-07-11 00:00:00+05:30,224.4,224.4,224.4,224.4,0,0.0,0.0
2023-07-12 00:00:00+05:30,217.2,217.2,217.2,217.2,0,0.0,0.0
2023-07-13 00:00:00+05:30,212.1,212.1,212.1,212.1,0,0.0,0.0
2023-07-14 00:00:00+05:30,207.0,207.0,207.0,207.0,0,0.0,0.0
2023-07-17 00:00:00+05:30,208.2,208.2,208.2,208.2,0,0.0,0.0
2023-07-18 00:00:00+05:30,217.1,217.1,217.1,217.1,0,0.0,0.0
2023-07-19 00:00:00+05:30,216.0,216.0,216.0,216.0,0,0.0,0.0
2023-07-20 00:00:00+05:30,227.5,227.5,227.5,227.5,0,0.0,0.0
2023-07-21 00:00:00+05:30,222.0,222.0,222.0,222.0,0,0.0,0.0
2023-07-24 00:00:00+05:30,219.4,219.4,219.4,219.4,0,0.0,0.0
2023-07-25 00:00:00+05:30,220.0,220.0,220.0,220.0,0,0.0,0.0
2023-07-26 00:00:00+05:30,218.5,218.5,218.5,218.5,0,0.0,0.0
2023-07-27 00:00:00+05:30,212.5,212.5,212.5,212.5,0,0.0,0.0
2023-07-28 00:00:00+05:30,215.3,215.3,215.3,215.3,0,0.0,0.0
2023-07-31 00:00:00+05:30,216.7,216.7,216.7,216.7,0,0.0,0.0
2023-08-01 00:00:00+05:30,212.4,212.4,212.4,212.4,0,0.0,0.0
2023-08-02 00:00:00+05:30,205.6,205.6,205.6,205.6,0,0.0,0.0
2023-08-03 00:00:00+05:30,214.2,214.2,214.2,214.2,0,0.0,0.0
2023-08-04 00:00:00+05:30,212.8,212.8,212.8,212.8,0,0.0,0.0
